X,0.04528395061728399 -0.09659259259259279 -0.8475925925925916 0.46028395061728355,-0.07298765432098767 1.1452592592592596 -4.927962962962969 4.599790123456799,-0.07807407407407457 1.2215555555555637 -5.298000000000038 5.1783703703704225,-0.19925925925925875 3.5846666666666547 -20.385555555555467 36.686518518518284,0.592049382716047 -15.406740740740666 129.7652592592585 -354.2199506172814,-0.291358024691337 9.770370370369706 -107.42962962962268 384.3086419752849,-0.20740740740740787 7.000000000000011 -77.14444444444447 274.64814814814815,0.44938271604944074 -17.629629629631975 229.2481481481795 -989.672839506311
0.58,-0.05497805906172826,2.1125960525432155,2.5012284705185515,26.029900290370186,-284.02341189293617,325.22936193578255,232.2187026962963,-862.5518410272813
0.581,-0.0558920162519998,2.1089239493680054,2.4972697682360327,26.01347509345981,-283.9109353326819,325.1329811603801,232.1494755752,-862.3426065797207
0.582,-0.056806008767604776,2.105253882276352,2.493313236898403,25.997056371265,-283.79848752202497,325.0366189100443,232.08026173108146,-862.1334058248713
0.583,-0.05772003633683931,2.1015858508303267,2.4893588760372176,25.980644122590185,-283.68606845741306,324.940275183027,232.01106116269628,-861.9242387600367
0.584,-0.05863409868799985,2.0979198545920057,2.4854066851840324,25.964238346239814,-283.5736781352939,324.8439499775801,231.94187386879997,-861.7151053825206
0.585,-0.05954819554938251,2.0942558931234623,2.4814566638704028,25.947839041018334,-283.4613165521152,324.7476432919554,231.87269984814816,-861.5060056896268
0.586,-0.06046232664928375,2.090593965986771,2.4775088116278843,25.931446205730182,-283.3489837043246,324.6513551244048,231.80353909949628,-861.2969396786589
0.587,-0.06137649171599979,2.0869340727440053,2.473563127988032,25.91505983917981,-283.2366795883699,324.5550854731801,231.7343916216,-861.0879073469206
0.588,-0.06229069047782698,2.0832762129572404,2.469619612482403,25.898679940171668,-283.12440420069873,324.4588343365332,231.66525741321482,-860.8789086917157
0.589,-0.06320492266306155,2.079620386188549,2.465678264642551,25.882306507510187,-283.01215753775887,324.3626017127159,231.5961364730963,-860.6699437103476
0.59,-0.06411918799999983,2.0759665920000057,2.4617390840000324,25.865939539999815,-282.8999395959979,324.26638759998013,231.52702879999998,-860.4610124001205
0.591,-0.06503348621693816,2.072314829953685,2.4578020700864025,25.849579036445,-282.78775037186364,324.17019199657767,231.45793439268147,-860.2521147583377
0.592,-0.06594781704217267,2.06866509961166,2.453867222433218,25.833224995650184,-282.6755898618037,324.0740149007604,231.38885324989627,-860.0432507823032
0.593,-0.06686218020399992,2.0650174005360054,2.4499345405720323,25.816877416419814,-282.5634580622659,323.97785631078017,231.31978537039998,-859.8344204693203
0.594,-0.06777657543071591,2.061371732288796,2.4460040240344028,25.800536297558335,-282.45135496969783,323.8817162248888,231.25073075294813,-859.6256238166932
0.595,-0.0686910024506171,2.0577280944321044,2.4420756723518844,25.784201637870183,-282.3392805805473,323.7855946413382,231.1816893962963,-859.4168608217253
0.596,-0.06960546099199982,2.0540864865280057,2.438149485056032,25.767873436159817,-282.2272348912619,323.68949155838015,231.1126612992,-859.2081314817203
0.597,-0.0705199507831602,2.0504469081385737,2.4342254616784027,25.75155169123167,-282.1152178982894,323.5934069742666,231.0436464604148,-858.999435793982
0.598,-0.0714344715523948,2.046809358825882,2.4303036017505506,25.735236401890184,-282.0032295980775,323.4973408872493,230.9746448786963,-858.7907737558141
0.599,-0.07234902302799973,2.0431738381520055,2.426383904804032,25.718927566939815,-281.8912699870739,323.4012932955802,230.9056565528,-858.5821453645202
0.6,-0.07326360493827133,2.039540345679018,2.4224663703704024,25.702625185185,-281.7793390617263,323.30526419751106,230.83668148148146,-858.3735506174041
0.601,-0.07417821701150595,2.0359088809689934,2.4185509979812174,25.686329255430188,-281.66743681848243,323.20925359129376,230.76771966349628,-858.1649895117696
0.602,-0.07509285897599982,2.0322794435840055,2.414637787168032,25.670039776479815,-281.5555632537899,323.1132614751802,230.6987710976,-857.9564620449202
0.603,-0.07600753056004916,2.028652033086129,2.4107267374624026,25.65375674713833,-281.4437183640965,323.01728784742215,230.62983578254813,-857.7479682141595
0.604,-0.07692223149195043,2.0250266490374376,2.4068178483958835,25.637480166210185,-281.33190214585,322.9213327062716,230.5609137170963,-857.5395080167916
0.605,-0.07783696149999975,2.0214032910000057,2.402911119500032,25.621210032499818,-281.22011459549793,322.8253960499802,230.49200489999998,-857.33108145012
0.606,-0.07875172031249367,2.017781958535907,2.399006550306402,25.604946344811665,-281.1083557094881,322.7294778768,230.4231093300148,-857.1226885114484
0.607,-0.0796665076577282,2.0141626512072155,2.3951041403465503,25.588689101950187,-280.9966254842682,322.6335781849827,230.3542270058963,-856.9143291980805
0.608,-0.0805813232639998,2.0105453685760057,2.391203889152032,25.572438302719817,-280.8849239162859,322.5376969727802,230.2853579264,-856.7060035073199
0.609,-0.0814961668596047,2.006930110204351,2.387305796254402,25.556193945925003,-280.77325100198897,322.44183423844447,230.21650209028147,-856.4977114364706
0.61,-0.08241103817283935,2.0033168756543263,2.383409861185217,25.539956030370185,-280.6616067378251,322.34598998022716,230.14765949629628,-856.2894529828359
0.611,-0.08332593693199974,1.9997056644880056,2.3795160834760316,25.523724554859818,-280.5499911202419,322.25016419638024,230.07883014319998,-856.0812281437198
0.612,-0.08424086286538246,1.9960964762674624,2.375624462658402,25.507499518198333,-280.4384041456872,322.15435688515555,230.01001402974813,-855.873036916426
0.613,-0.08515581570128372,1.9924893105547712,2.371734998263883,25.49128091919019,-280.32684581060863,322.058568044805,229.9412111546963,-855.664879298258
0.614,-0.08607079516799976,1.9888841669120056,2.367847689824032,25.475068756639814,-280.21531611145394,321.96279767358027,229.8724215168,-855.4567552865198
0.615,-0.08698580099382691,1.9852810449012397,2.363962536870402,25.45886302935167,-280.10381504467074,321.86704576973335,229.8036451148148,-855.2486648785148
0.616,-0.08790083290706152,1.9816799440845485,2.36007953893455,25.442663736130186,-279.99234260670687,321.7713123315161,229.7348819474963,-855.0406080715469
0.617,-0.08881589063599982,1.9780808640240055,2.3561986955480316,25.426470875779813,-279.8808987940099,321.6755973571803,229.6661320136,-854.8325848629197
