X,-0.8513333333333333 0.44366666666666665,-0.32600000000000007 -0.6069999999999998,0.8106666666666668 -4.585333333333335,0.9620000000000002 -5.342000000000001,0.05933333333333335 0.5253333333333332,-3.533333333333332 29.266666666666655,0.8666666666666667 -12.533333333333335,1.3333333333333333 -17.666666666666664,-0.9999999999999993 11.499999999999993,2.7333333333333325 -40.76666666666665
0.614,-0.07905200000000001,-0.8071639999999998,-4.087584000000001,-4.751332000000001,0.5617639999999999,27.09719999999999,-12.0012,-16.848,10.885999999999994,-39.088399999999986
0.615,-0.07990333333333333,-0.8074899999999998,-4.086773333333334,-4.750370000000001,0.5618233333333332,27.093666666666657,-12.000333333333336,-16.846666666666664,10.884999999999993,-39.085666666666654
0.616,-0.08075466666666664,-0.8078159999999999,-4.085962666666668,-4.749408000000002,0.5618826666666665,27.090133333333323,-11.999466666666669,-16.845333333333333,10.883999999999993,-39.082933333333315
0.617,-0.08160599999999996,-0.8081419999999998,-4.085152000000001,-4.748446000000001,0.5619419999999999,27.08659999999999,-11.998600000000001,-16.843999999999998,10.882999999999994,-39.080199999999984
0.618,-0.08245733333333327,-0.8084679999999997,-4.0843413333333345,-4.747484000000001,0.5620013333333332,27.083066666666657,-11.997733333333334,-16.842666666666663,10.881999999999993,-39.07746666666665
0.619,-0.08330866666666659,-0.8087939999999998,-4.083530666666668,-4.7465220000000015,0.5620606666666665,27.079533333333323,-11.99686666666667,-16.84133333333333,10.880999999999993,-39.07473333333332
0.62,-0.08416000000000001,-0.8091199999999998,-4.082720000000001,-4.745560000000001,0.5621199999999998,27.07599999999999,-11.996000000000002,-16.839999999999996,10.879999999999994,-39.07199999999999
0.621,-0.08501133333333333,-0.8094459999999998,-4.081909333333335,-4.744598000000002,0.5621793333333333,27.072466666666656,-11.995133333333335,-16.838666666666665,10.878999999999994,-39.06926666666665
0.622,-0.08586266666666664,-0.8097719999999998,-4.0810986666666675,-4.743636000000001,0.5622386666666666,27.068933333333323,-11.994266666666668,-16.83733333333333,10.877999999999993,-39.06653333333332
0.623,-0.08671399999999996,-0.8100979999999998,-4.080288000000001,-4.742674000000001,0.5622979999999999,27.06539999999999,-11.993400000000001,-16.836,10.876999999999994,-39.063799999999986
