X,-5.66133211400731E-4 0.016951623228167456 -0.20596936442616737 1.2216478433166404 -3.270455509831012 2.762446410608357 -0.6859631153788236,0.002539734796524242 -0.09020082304524431 1.2732002743481132 -9.181068815727254 35.78078765431382 -70.7977079560918 53.01449474164679,-0.006388172534686843 0.298163145862473 -5.590128486521588 53.76625781140821 -279.5104917243342 744.8637177425569 -795.9848529202077,0.006523639689045948 -0.379706995883289 8.984079561007885 -110.33480566944804 740.0739884745915 -2566.0235220755426 3589.189373557931,-9.741197988591336E-4 0.08140521262321816 -2.684308642062188 45.098434614864175 -408.90798039382037 1900.5398856366835 -3540.8050114981856
1.766,-1.0081185893917897,-0.0778953594908316,-105.59621632234098,839.0689414294579,-1236.0866346361913
1.767,-1.0092487532663097,-0.08428476382311345,-105.44492917333912,838.264974113351,-1235.2638996487563
1.768,-1.0103785183930314,-0.09066145081897758,-105.2938094318846,837.4616137967319,-1234.4415962204334
1.769,-1.0115078833769444,-0.09702543678036335,-105.14285696085767,836.6588601318444,-1233.619724179886
1.77,-1.0126368468250235,-0.10337673799497082,-104.9920716232159,835.8567127710776,-1232.7982833558276
1.771,-1.0137654073462259,-0.10971537073617554,-104.84145328199565,835.0551713669611,-1231.9772735770189
1.772,-1.0148935635514928,-0.11604135126311377,-104.69100180031103,834.2542355721648,-1231.1566946722696
1.773,-1.0160213140537402,-0.12235469582063985,-104.54071704135413,833.4539050395042,-1230.3365464704357
1.774,-1.0171486574678652,-0.1286554206394257,-104.39059886839482,832.654179421937,-1229.5168288004238
1.775,-1.0182755924107396,-0.13494354193586133,-104.24064714478118,831.855058372561,-1228.6975414911872
1.776,-1.0194021175012158,-0.14121907591206906,-104.09086173393939,831.0565415446158,-1227.8786843717276
1.777,-1.0205282313601196,-0.1474820387560314,-103.94124249937295,830.2586285914858,-1227.0602572710955
1.778,-1.021653932610246,-0.1537324466414347,-103.79178930466378,829.4613191666963,-1226.242260018389
1.779,-1.022779219876369,-0.15997031572779719,-103.64250201347113,828.6646129239143,-1225.4246924427548
1.78,-1.0239040917852287,-0.16619566216042614,-103.49338048953291,827.868509516949,-1224.6075543733868
1.781,-1.0250285469655345,-0.17240850207044645,-103.34442459666411,827.0730085997516,-1223.7908456395285
1.782,-1.0261525840479657,-0.17860885157477213,-103.1956341987576,826.2781098264154,-1222.9745660704716
1.783,-1.027276201665169,-0.1847967267761348,-103.04700915978401,825.4838128511751,-1222.1587154955528
