X,-1.3041237113402064 -0.16223195876288654,-0.6782246879334259 -0.6886130374479889,1.6388140161725069 -4.307827493261456,2.6141304347826093 -6.554956521739132,0.6180555555555545 -0.8541666666666643
0.395,-0.6773608247422681,-0.9565117891816921,-3.6604959568733157,-5.522375000000001,-0.6100347222222202
0.396,-0.6786649484536084,-0.9571900138696255,-3.6588571428571433,-5.519760869565218,-0.6094166666666647
0.397,-0.6799690721649485,-0.957868238557559,-3.6572183288409708,-5.517146739130435,-0.6087986111111092
0.398,-0.6812731958762888,-0.9585464632454923,-3.6555795148247983,-5.514532608695653,-0.6081805555555536
0.399,-0.6825773195876289,-0.9592246879334259,-3.6539407008086258,-5.511918478260871,-0.607562499999998
0.4,-0.6838814432989692,-0.9599029126213592,-3.6523018867924533,-5.509304347826088,-0.6069444444444425
0.401,-0.6851855670103093,-0.9605811373092927,-3.6506630727762808,-5.506690217391306,-0.6063263888888869
0.402,-0.6864896907216496,-0.9612593619972261,-3.6490242587601083,-5.504076086956522,-0.6057083333333314
0.403,-0.6877938144329898,-0.9619375866851595,-3.647385444743936,-5.50146195652174,-0.6050902777777758
0.404,-0.68909793814433,-0.9626158113730929,-3.6457466307277633,-5.4988478260869575,-0.6044722222222203
0.405,-0.6904020618556702,-0.9632940360610264,-3.644107816711591,-5.496233695652175,-0.6038541666666648
0.406,-0.6917061855670104,-0.9639722607489598,-3.6424690026954183,-5.493619565217392,-0.6032361111111091
0.407,-0.6930103092783505,-0.9646504854368931,-3.640830188679246,-5.491005434782609,-0.6026180555555536
0.408,-0.6943144329896908,-0.9653287101248267,-3.6391913746630733,-5.488391304347827,-0.6019999999999981
0.409,-0.6956185567010309,-0.96600693481276,-3.637552560646901,-5.4857771739130445,-0.6013819444444426
0.41,-0.6969226804123712,-0.9666851595006934,-3.6359137466307283,-5.483163043478262,-0.600763888888887
0.411,-0.6982268041237114,-0.9673633841886269,-3.634274932614556,-5.48054891304348,-0.6001458333333314
0.412,-0.6995309278350516,-0.9680416088765603,-3.6326361185983833,-5.477934782608696,-0.5995277777777759
0.413,-0.7008350515463918,-0.9687198335644938,-3.630997304582211,-5.475320652173914,-0.5989097222222204
0.414,-0.702139175257732,-0.9693980582524272,-3.6293584905660383,-5.4727065217391315,-0.5982916666666648
0.415,-0.7034432989690722,-0.9700762829403606,-3.627719676549866,-5.470092391304349,-0.5976736111111092
0.416,-0.7047474226804123,-0.970754507628294,-3.6260808625336933,-5.467478260869566,-0.5970555555555537
0.417,-0.7060515463917526,-0.9714327323162275,-3.624442048517521,-5.464864130434783,-0.5964374999999982
0.418,-0.7073556701030929,-0.9721109570041608,-3.6228032345013483,-5.462250000000001,-0.5958194444444425
0.419,-0.708659793814433,-0.9727891816920944,-3.621164420485176,-5.4596358695652185,-0.595201388888887
0.42,-0.7099639175257733,-0.9734674063800277,-3.6195256064690033,-5.457021739130436,-0.5945833333333315
0.421,-0.7112680412371134,-0.9741456310679611,-3.617886792452831,-5.454407608695654,-0.5939652777777759
0.422,-0.7125721649484537,-0.9748238557558946,-3.6162479784366584,-5.45179347826087,-0.5933472222222202
0.423,-0.7138762886597938,-0.975502080443828,-3.614609164420486,-5.449179347826088,-0.5927291666666648
0.424,-0.715180412371134,-0.9761803051317615,-3.6129703504043134,-5.4465652173913055,-0.5921111111111093
0.425,-0.7164845360824743,-0.9768585298196948,-3.611331536388141,-5.443951086956523,-0.5914930555555536
0.426,-0.7177886597938145,-0.9775367545076283,-3.6096927223719684,-5.44133695652174,-0.590874999999998
0.427,-0.7190927835051547,-0.9782149791955617,-3.608053908355796,-5.438722826086957,-0.5902569444444425
0.428,-0.7203969072164949,-0.9788932038834952,-3.6064150943396234,-5.436108695652175,-0.589638888888887
0.429,-0.7217010309278351,-0.9795714285714285,-3.604776280323451,-5.4334945652173925,-0.5890208333333314
0.43,-0.7230051546391753,-0.980249653259362,-3.6031374663072784,-5.43088043478261,-0.5884027777777758
0.431,-0.7243092783505155,-0.9809278779472954,-3.601498652291106,-5.428266304347827,-0.5877847222222203
0.432,-0.7256134020618558,-0.9816061026352288,-3.5998598382749334,-5.425652173913044,-0.5871666666666648
0.433,-0.7269175257731959,-0.9822843273231623,-3.598221024258761,-5.423038043478262,-0.5865486111111092
0.434,-0.7282216494845362,-0.9829625520110957,-3.5965822102425884,-5.4204239130434795,-0.5859305555555536
0.435,-0.7295257731958763,-0.9836407766990292,-3.594943396226416,-5.417809782608696,-0.5853124999999981
0.436,-0.7308298969072166,-0.9843190013869625,-3.5933045822102434,-5.415195652173914,-0.5846944444444426
0.437,-0.7321340206185567,-0.984997226074896,-3.591665768194071,-5.412581521739131,-0.584076388888887
0.438,-0.733438144329897,-0.9856754507628294,-3.5900269541778984,-5.409967391304349,-0.5834583333333314
0.439,-0.7347422680412372,-0.9863536754507629,-3.588388140161726,-5.4073532608695665,-0.5828402777777759
0.44,-0.7360463917525774,-0.9870319001386962,-3.5867493261455534,-5.404739130434784,-0.5822222222222203
0.441,-0.7373505154639176,-0.9877101248266297,-3.585110512129381,-5.402125000000001,-0.5816041666666647
0.442,-0.7386546391752578,-0.9883883495145631,-3.5834716981132084,-5.399510869565218,-0.5809861111111092
0.443,-0.739958762886598,-0.9890665742024966,-3.5818328840970355,-5.396896739130436,-0.5803680555555537
0.444,-0.7412628865979382,-0.98974479889043,-3.580194070080863,-5.3942826086956535,-0.5797499999999981
0.445,-0.7425670103092784,-0.9904230235783634,-3.5785552560646905,-5.39166847826087,-0.5791319444444425
0.446,-0.7438711340206187,-0.9911012482662969,-3.576916442048518,-5.389054347826088,-0.578513888888887
0.447,-0.7451752577319588,-0.9917794729542302,-3.5752776280323455,-5.386440217391305,-0.5778958333333315
0.448,-0.7464793814432991,-0.9924576976421637,-3.573638814016173,-5.383826086956523,-0.5772777777777759
0.449,-0.7477835051546392,-0.9931359223300971,-3.5720000000000005,-5.3812119565217404,-0.5766597222222203
0.45,-0.7490876288659795,-0.9938141470180306,-3.570361185983828,-5.378597826086957,-0.5760416666666648
0.451,-0.7503917525773197,-0.9944923717059639,-3.5687223719676555,-5.375983695652175,-0.5754236111111093
0.452,-0.7516958762886599,-0.9951705963938974,-3.567083557951483,-5.373369565217392,-0.5748055555555537
0.453,-0.7530000000000001,-0.9958488210818308,-3.5654447439353105,-5.37075543478261,-0.5741874999999981
0.454,-0.7543041237113403,-0.9965270457697643,-3.563805929919138,-5.3681413043478265,-0.5735694444444426
0.455,-0.7556082474226805,-0.9972052704576977,-3.5621671159029655,-5.365527173913044,-0.5729513888888871
0.456,-0.7569123711340207,-0.997883495145631,-3.560528301886793,-5.362913043478262,-0.5723333333333315
0.457,-0.7582164948453609,-0.9985617198335646,-3.5588894878706205,-5.360298913043479,-0.5717152777777759
0.458,-0.7595206185567012,-0.9992399445214979,-3.557250673854448,-5.357684782608697,-0.5710972222222204
0.459,-0.7608247422680413,-0.9999181692094314,-3.5556118598382755,-5.355070652173914,-0.5704791666666648
0.46,-0.7621288659793816,-1.0005963938973648,-3.553973045822103,-5.352456521739131,-0.5698611111111092
0.461,-0.7634329896907217,-1.001274618585298,-3.5523342318059306,-5.349842391304349,-0.5692430555555537
0.462,-0.764737113402062,-1.0019528432732316,-3.550695417789758,-5.347228260869566,-0.5686249999999982
0.463,-0.7660412371134021,-1.0026310679611652,-3.5490566037735856,-5.344614130434784,-0.5680069444444426
0.464,-0.7673453608247424,-1.0033092926490985,-3.547417789757413,-5.3420000000000005,-0.5673888888888869
